question,groundtruth
"En quelle année scolaire la commune prévoit-elle de dépenser 15 850 francs pour compléter le traitement des enseignants ?","Pour l’année scolaire 1963-1964, la caisse communale prévoit une dépense annuelle globale de 15 850 francs afin d’octroyer un complément aux traitements des maîtres et professeurs."
"Quelle exposition artistique a été organisée à Sainte-Croix en 1963 et quel en était le thème du concours ?","À Sainte-Croix, le Panorama-club a organisé une exposition regroupant peintres et sculpteurs. Un concours proposait pour thème : « Le blé et le raisin »."
"Quelle a été la principale décision prise lors de l’assemblée annuelle de printemps du Ski-club de Ballaigues en 1963 ?","Lors de l’assemblée annuelle de printemps, le Ski-club de Ballaigues, présidé par M. Roger Golay, a accepté les comptes, admis 21 nouveaux membres (portant l’effectif à 150) et renouvelé le comité par acclamation."
"Quel changement de présidence a eu lieu aux Unions chrétiennes de jeunes gens en 1963 ?","Les Unions chrétiennes de jeunes gens ont remplacé leur président M. Jacques Manz (à Nyon) par M. Remy Wyler (de Genève)."
"Quand à été construit la voûte de l'ancien pont sur la Louve, derrièrel'Hôtel-de-Ville à Lausanne?","L'appel d'offres pour la construction de la voute à eu lieu en 1863. La construction à donc eu lieu peu après cette date."
"Quelle somme la caisse communale prévoit-elle de dépenser pour l’indemnité de résidence des enseignants pour l’année scolaire 1963-1964 ?","La dépense annuelle globale prévue est de 15 850 francs pour l’année scolaire 1963-1964."
"Quelle portion de l’autoroute entre Genève et Lausanne doit être ouverte au trafic le 8 juin 1963, et dans quel sens de circulation ?","L’autoroute sera ouverte le 8 juin 1963 entre Versoix et Gland-Rolle, de Sauverny à Gland, mais seulement dans le sens Genève-Lausanne."
"Quelle a été la décision principale de l’assemblée annuelle du Ski-club de Ballaigues en 1963 ?","Le Ski-club de Ballaigues, sous la présidence de M. Roger Golay, a accepté les comptes, admis 21 nouveaux membres (portant l’effectif à 150), et renouvelé son comité par acclamation."
"Quel était l’effectif des pêcheurs en rivière de Vallorbe lors de leur assemblée, et quels résultats de reproduction a donné le canal Lombard en 1962 ?","L’assemblée a annoncé un effectif de 158 membres. Le canal Lombard a reçu 5000 alevins en 1962 et a produit 2450 truitelles (49 % de réussite)."
"Qui a remplacé M. Jacques Manz comme président des Unions chrétiennes de jeunes gens en 1963 ?","M. Remy Wyler, de Genève, a remplacé M. Jacques Manz, de Nyon, comme président des Unions chrétiennes de jeunes gens."
"Quelle exposition artistique a eu lieu à Sainte-Croix en 1963, et quel était le thème du concours proposé ?","Une exposition organisée par le Panorama-club à Sainte-Croix regroupait peintres et sculpteurs. Le concours proposait le thème : « Le blé et le raisin »."
"Quelle a été la réaction du Foreign Office britannique face aux incidents subis par la reine Frederika, et quelles critiques cela a-t-il suscitées ?","Le secrétaire d’État au Foreign Office, lord Home, a adressé une lettre d’excuses à la reine Frederika. Cette démarche a été critiquée par des députés travaillistes, mais le Premier ministre a défendu lord Home en estimant qu’il avait agi correctement."
"Quelle entreprise de Saint-Prex cherchait en 1963 des mécaniciens avec expérience dans les machines d’entreprise, et quel était le numéro de téléphone indiqué dans des petites anonces ?","Charles Keller, machines d’entreprises à Saint-Prex. Téléphone : (021) 76 10 82."
"Quelle modification de quai entra en vigueur le 14 juillet 1963 à la gare de Berne pour les trains vers Thoune, Brigue et Interlaken ?","Dès le 14 juillet 1963, les trains pour Thoune, Brigue et Interlaken partiront du nouveau quai 4 (voies 7 et 8)."
"Quelle mesure le Conseil d’État du canton d’Uri a-t-il ordonnée en 1963 concernant l’eau potable, et pour quelle échéance les résultats étaient-ils exigés ?","Le Conseil d’État d’Uri a ordonné l’examen immédiat de l’eau potable, des captations, réservoirs et conduites, y compris dans l’hôtellerie et les coopératives. Les résultats devaient être remis à la direction de l’hygiène publique du canton d’Uri avant le 31 décembre 1963."
"Quel surnom est donné aux habitants de Villars-sous-Yens ?","Les habitants de Villars-sous-Yens sont appelés les seizerons (pommes sèches)."
"Comment se nomme réellement le sobriquet des habitants de Saint-Livres, et quelle coutume dominicale leur est associée ?","Les habitants de Saint-Livres sont appelés les rondze-grugnons (« rongeurs de souches de vignes ou de haies »), et non les rodze-guignon. Une coutume voulait qu’hommes et femmes portent une hotte à l’église le dimanche pour y transporter les psaumes."
"Quel surnom désigne les habitants de Collombier-sur-Morges, et que signifie-t-il ?","Les habitants de Collombier-sur-Morges sont appelés les rondze-cornès, ce qui signifie ronge-bornes (ou limites)."
"Quelles pratiques humoristiques étaient associées aux habitants de Bière et de Gimel « dans l’ancien temps » ?","Les habitants de Bière et de Gimel passaient leurs loisirs à secouer la poussière de leurs habits à coups de triques et chantaient, de part et d’autre du Toleure, une litanie rabelaisienne avec répons appropriés."
"D’après l’article, quel est l’état général des arts à Genève, et comment le rôle du Conseil administratif influence-t-il la vie artistique et la motivation des créateurs ?","Les arts à Genève sont riches et nombreux (centaines d’artistes), mais le Conseil administratif ignore leur existence, refuse d’organiser des Salons municipaux, et considère les expositions comme des entreprises financières. Cela désoriente et décourage les artistes, et limite la stimulation artistique et la participation de la jeunesse."
"Quelle incertitude est mentionnée concernant l’organisation d’un congrès des grandes puissances en 1860, et comment l’article précise-t-il la perception initiale ?","L’article indique qu’on ne sait plus si l’idée d’un congrès « qu'on avait cru devoir être si facilement acceptée par les grandes puissances » sera la conséquence certaine de l’entrevue de Varsovie, et que plusieurs commencent à « entrevoir de nombreuses difficultés »."
"Quelle puissance européenne est identifiée comme particulièrement réticente à participer au congrès de 1860 et à aborder la question des nationalités et du royaume de Pologne ?",L'autriche
"Quelle crainte spécifique est attribuée à la Russie concernant l’empereur Napoléon et la question polonaise dans le cadre du congrès de 1860?","La Russie craindrait que Napoléon profite de la réunion pour poser la question de la reconstitution du royaume de Pologne."
"Quelle réaction générale des députés de droite est décrite pendant le discours sur Victor Hugo, et quels cantons sont spécifiquement cités comme exemples de fuite ?","Les députés de droite ont fui la séance, avec le Valais en tête, suivi par le Tessin, Lucerne et la Suisse primitive."
"Comment l’article décrit-il le contraste entre la rigidité morale de la droite et leurs habitudes sociales à Berne avant certaines interdictions ?","Les députés de droite étaient connus pour ne pas dédaigner le mot pour rire, la chansonnette grivoise, la Tonhalle et le bal paré et masqué, jusqu’à ce que M. de Büren les interdise."
"Quelle alternative au système de nomination à l’ancienneté propose M. Lockroy pour les hauts commandements de la Marine en 1898?","M. Lockroy propose que la nomination se fasse au choix, en fonction des capacités à exercer le commandement à la mer, et que les amirs âgés commandent plutôt à terre."
"Quel amiral est nommé au commandement de l’escadre de la Méditerranée en 1898, malgré sa position sur la liste d’ancienneté ?","Le vice-amiral Fournier, qui est le dernier sur la liste d’ancienneté des vice-amiraux."
"Dans quel type de site est situé l’asile de la 1re classe reliant Ouchy à Vaumarcus, et quelles caractéristiques extérieures sont mentionnées pour les malades ?","L’asile est situé dans un site tranquille, abrite de beaux ombrages, et est entouré de préaux ou jardins d’agrément à disposition de tous les malades"
"Quel était l’objectif principal de M. Violle lors de son ascension sur le sommet le plus élevé d’Europe en 1875?","Fixer exactement la valeur numérique de la température grâce à ses mesures de radiation solaire."
"Quels types de spectacles étaient proposés le vendredi 24 mai 1963soir à Lausanne, incluant théâtres, cabarets et concerts ?","Théâtres : Poil de Carotte, La Voix humaine, Cinquante minutes avec… ; cabarets/music-hall : Brummell Night-Club, Tabaris, Tabarin au Lapin Vert ; concert : concert d’orgue par André Luy avec Jean-Pierre Mathez, trompette-solo de l’OCL."
"Quelles expositions artistiques étaient mentionnées à Lausanne le 24 mai 1963, et dans quelles galeries ?","Galerie L’Entracte (photographies de Grindat), Galerie Maurice Bridel (peintures du Théâtre), Galerie Philippe (peintures de Simone César-Roux), Galerie Melisa (peintures)."
"Quels services de santé étaient indiqués pour les habitants de Lausanne et Renens dans la Feuille d'avis de Lausanne (FAL) le 24 mai 1963, notamment pour les pharmacies de garde et les médecins ?","Pharmacies de service : Henry, Hennay, Jaquier, Thevet ; Renens : Bonny-Reymond ; Médecin de garde : service téléphonique No 22 18 25 ; Service dentaire d’urgence mentionné."
"Quel artiste de renommée a été présenté à la radio le 24 mai 1963, et quelles étaient ses caractéristiques et projets artistiques ?","Claude Nougaro, fils d’un baryton d’opéra, a raconté sa vie, ses débuts et projets : composer une comédie musicale et espérer un opéra. Il est décrit comme ayant 99 % de transpiration et 1 % d’inspiration, personnalité forte, vie débordante, accompagné au piano et batterie."
"Quels spectacles étaient programmés à Lausanne le vendredi 24 mai 1963, incluant le Théâtre des Faux-Nez, le Brummell Night-Club et le Tabarin au Lapin Vert, ainsi que le concert d’orgue avec Jean-Pierre Mathez ?","Théâtre des Faux-Nez : Poil de Carotte, La Voix humaine de Jean Cocteau, Cinquante minutes avec… Brummell Night-Club (Grand-Chêne 7) : Stéréoparade et attractions Tabarin au Lapin Vert (rue de l’Académie 1) : récital Ricet Barrier et Béatrice à 20 h Concert d’orgue à 20 h 30 : André Luy avec Jean-Pierre Mathez, trompette solo de l’OCL"
"Quelles galeries lausannoises exposaient le 24 mai 1963, et quels artistes ou œuvres y étaient présentés ?","Galerie L’Entracte (av. du Théâtre 7) : photographies de Grindat et gravures Galerie Maurice Bridel (av. du Théâtre 4) : peintures du Théâtre Galerie Philippe (rue du Grand-Chêne 11) : peintures de Simone César-Roux, Galerie Melisa (av. du Théâtre 3) : peintures"
"Quel homme politique français, décédé le 31 décembre 1882, est évoqué dans l’article du 17 juillet 1885 comme celui qui manquait à la France pendant la lutte électorale ?","Léon Gambetta."
"Quelle librairie lausannoise, située place de la Palud 20, annonçait des publications nouvelles pour étrennes dans l’édition du 17 décembre 1862 ?","La Librairie Delapontaine & Rouge."
"Quel ouvrage de voyages illustré de 89 gravures, publié par le Magasin Pittoresque, figurait dans l’annonce du 17 décembre 1862 ?","Les vrais Robinsons. Naufrages. Solitudes. Voyages., grand in-8, au prix de 15 francs."
"Which travel book illustrated with 89 engravings, published by the Magasin Pittoresque, appeared in the announcement of December 17, 1862?","The real Robinsons. Shipwrecks. Lonelines. Voyages., large in-8, at the price of 15 francs."
"Which admiral was appointed to command of the Mediterranean squadron in 1898, despite his position on the seniority list?","Vice-Admiral Fournier, who is the last on the seniority list of vice-admirals."
"In what type of site is the 1st class asylum located connecting Ouchy to Vaumarcus, and what external characteristics are mentioned for the sick?","The asylum is located in a quiet site, houses beautiful shades, and is surrounded by courtyards or pleasure gardens available to all patients"
"What was Mr. Violle's main goal when he climbed Europe's highest peak in 1875?","Set exactly the numerical value of the temperature thanks to its solar radiation measurements."
"What types of shows were offered on Friday, May 24, 1963 evening in Lausanne, including theaters, cabarets and concerts?","Theaters: Poil de Carotte, La Voix humaine, Cinquante minutes avec...; cabarets/music-hall: Brummell Night-Club, Tabaris, Tabarin au Lapin Vert; concert: organ concert by André Luy with Jean-Pierre Mathez, OCL solo trumpet."
"Which artistic exhibitions were mentioned in Lausanne on May 24, 1963, and in which galleries?","Galerie L'Entracte (photographs by Grindat), Galerie Maurice Bridel (paintings of the Theatre), Galerie Philippe (paintings by Simone César-Roux), Galerie Melisa (paintings)."
"What health services were indicated for the inhabitants of Lausanne and Renens in the Lausanne Notice Sheet (FAL) on May 24, 1963, especially for on-call pharmacies and doctors?","Service pharmacies: Henry, Hennay, Jaquier, Thevet; Renens: Bonny-Reymond; Doctor on call: telephone service No. 22 18 25; Emergency dental service mentioned."
"Which renowned artist was presented on the radio on May 24, 1963, and what were his characteristics and artistic projects?","Claude Nougaro, son of an opera baritone, told his life, his beginnings and projects: composing a musical and hoping for an opera. He is described as having 99% sweat and 1% inspiration, strong personality, overflowing life, accompanied by piano and drums."
"What shows were scheduled in Lausanne on Friday, May 24, 1963, including the Théâtre des Faux-Nez, the Brummell Night-Club and the Tabarin au Lapin Vert, as well as the organ concert with Jean-Pierre Mathez?","Théâtre des Faux-Nez: Poil de Carotte, La Voix humaine by Jean Cocteau, Fifty minutes with... Brummell Night-Club (Grand-Chêne 7): Stereoparade and Tabarin attractions at Lapin Vert (rue de l'Académie 1): recital Ricet Barrier and Béatrice at 8 p.m. Organ concert at 8:30 p.m.: André Luy with Jean-Pierre Mathez, solo trumpet of the OCL"
"Which Lausanne galleries exhibited on May 24, 1963, and which artists or works were presented there?","Galerie L'Entracte (av. du Théâtre 7): photographs by Grindat and engravings Galerie Maurice Bridel (av. du Théâtre 4): paintings from the Théâtre Galerie Philippe (rue du Grand-Chêne 11): paintings by Simone César-Roux Galerie Melisa (av. du Théâtre 3): paintings"
"Which French politician, who died on December 31, 1882, is mentioned in the article of July 17, 1885 as the one who was missing from France during the electoral struggle?","Léon Gambetta."
"Which Lausanne bookstore, located in Place de la Palud 20, announced new publications for debuts in the edition of December 17, 1862?","The Delapontaine & Rouge Bookstore."
"What change of presidency took place at the Christian Unions of Young People in 1963?","The Christian Unions of Young People replaced their president Mr. Jacques Manz (in Nyon) with Mr. Remy Wyler (from Geneva)."
"When was the vault of the old bridge over the Louve, behind the City Hall in Lausanne, built?","The call for tenders for the construction of the vault took place in 1863. The construction therefore took place shortly after that date."
"How much does the municipal fund plan to spend on the teachers' residence allowance for the 1963-1964 school year?","The expected total annual expenditure is 15,850 francs for the 1963-1964 school year."
"Which part of the motorway between Geneva and Lausanne should be open to traffic on June 8, 1963, and in which direction of traffic?","The motorway will be opened on June 8, 1963 between Versoix and Gland-Rolle, from Sauverny to Gland, but only in the Geneva-Lausanne direction."
"What was the main decision of the annual meeting of the Ballaigues Ski Club in 1963?","The Ballaigues Ski Club, under the chairmanship of Mr. Roger Golay, accepted the accounts, admitted 21 new members (bringing the number of staff to 150), and renewed its committee by acclamation."
"What was the number of fishermen in the Vallorbe River at their assembly, and what breeding results did the Lombard Canal give in 1962?","The assembly announced a membership of 158 members. The Lombard Canal received 5,000 alevins in 1962 and produced 2450 trout (49% success)."
"Who replaced Mr. Jacques Manz as President of the Christian Unions of Young People in 1963?","Mr. Remy Wyler, of Geneva, replaced Mr. Jacques Manz, of Nyon, as President of the Christian Unions of Young People."
"What artistic exhibition took place in Sainte-Croix in 1963, and what was the theme of the proposed competition?","An exhibition organized by the Panorama-club in Sainte-Croix bringed together painters and sculptors. The competition proposed the theme: "Wheat and grapes"."
"What was the reaction of the British Foreign Office to the incidents suffered by Queen Frederika, and what criticism did it arouse?","The Secretary of State for the Foreign Office, Lord Home, sent a letter of apology to Queen Frederika. This approach was criticized by Labour MPs, but the Prime Minister defended Lord Home, believing that he had acted correctly."
"Which Saint-Prex company was looking for mechanics with experience in company machines in 1963, and what was the phone number indicated in small ads?","Charles Keller, business machinery in Saint-Prex. Phone: (021) 76 10 82."
"Which platform change came into force on July 14, 1963 at Bern station for trains to Thun, Brig and Interlaken?","From July 14, 1963, trains to Thun, Brig and Interlaken will depart from the new platform 4 (tracks 7 and 8)."
"What measure did the Council of State of the canton of Uri order in 1963 regarding drinking water, and for what deadline were the results required?","The Council of State of Uri has ordered the immediate examination of drinking water, catchments, reservoirs and pipes, including in the hotel industry and cooperatives. The results were to be submitted to the Directorate of Public Hygiene of the Canton of Uri before December 31, 1963."
"What nickname is given to the inhabitants of Villars-sous-Yens?","The inhabitants of Villars-sous-Yens are called the seizerons (dried apples)."
"What is the name of the inhabitants of Saint-Livres actually called, and what Sunday custom is associated with them?","The inhabitants of Saint-Livres are called the rondze-grugnons ("rodents of vines or hedges"), and not the rodze-guignon. A custom was that men and women wear a hood in church on Sundays to transport the psalms."
"What nickname does the inhabitants of Collombier-sur-Morges mean, and what does it mean?","The inhabitants of Collombier-sur-Morges are called the rondze-cornès, which means ronge-terminals (or limits)."
"What humorous practices were associated with the inhabitants of Bière and Gimel "in ancient times"?","The inhabitants of Bière and Gimel spent their leisure time shaking the dust from their clothes with tricks and sang, on both sides of the Toleure, a Rabelaisian litany with appropriate answers."
"According to the article, what is the general state of the arts in Geneva, and how does the role of the Administrative Council influence the artistic life and motivation of creators?","The arts in Geneva are rich and numerous (hundreds of artists), but the Administrative Council ignores their existence, refuses to organize municipal salons, and considers exhibitions as financial companies. This disorients and discourages artists, and limits the artistic stimulation and participation of youth."
"Where and how did General Miles arrive on July 25, 1898?","Washington, 25.07.1898 - General Miles arrived on the 22nd, in the afternoon, at the St-Nicolas pier with 3,400 men and five batteries"
"What is the attitude of the Bernese towards swimming in the Aar?","The attitude of the Bernese has evolved over the years. in 1885 with the construction of the roped railway, access was facilitated and many Bernese bathed naked. subsequently - with the construction of the hydroelectric barge, swimming stopped in places but remains a popular activity."
"Did Switzerland have colonies in the United States and or the Americas","The document provided mentions colonies, but it refers to French colonies (such as French India) and not to Swiss colonies."
"Who is Jules Claretie and what is his relationship to literature?","Jules Claretie was a member of the French Academy"
"Who is Osman Bölükbaşı, and what is his link with politics in Turkey","Osman Bölükbaşı was a Turkish presidential candidate imprisoned for offense in parliament. His incarceration has made a lot of ink flow and leads several debates about Turkish democracy."
"What subject caused controversy after the renovation of the large hall at the Palais de Beaulieu in Lausanne?","The lack of air conditioning has been widely criticized"
"How was the understanding between the Soviet and Yugoslav communist parties during the Cold War? Are the leaders met?","The agreement was good. During a visit, the observers noted a "feeling" and "enthusiastic approval". In addition, Moscow leaders encouraged Kruchev to improve relations with Tito's Yugoslavia"
"Were there tensions in Switzerland in 1860? How did the patriotic citizens react?","The 3,000 popular citizens of Bern and the 500 of Vevey, naturally all animated by an ardent love for the homeland and inflamed by the desire to sacrifice themselves to its honor, would have made a more imposing force than the few battalions set up, with the necessary weapons that the homeland would not have refused them, and the populations neutralized by the treaties, electrified and seasoned by their presence, would not have been able to resist the contagion; we would have seen them get up like one man, and swear to die until the last"
"What is the brotherhood founded on April 1, 1889? What are its objectives?","The fraternity is a benevolent association that aims to help its loved ones. In 1898 it had 92 members and was actively recruiting."
"What is the size of the municipality of Grancy?","Grancy is a commune of 400 inhabitants"
"Who are Bang and Hytönen?","Bang and Hytönen being a priori essential on stage. young actors"
"What are the characteristics of the English scale?","English polish is characterized by the most beautiful black and the most beautiful lustre possible; it makes the leather flexible and waterproof. This shoe liner, composed entirely of fat, and not containing any ingredients that could harm the shoe, is recommended for its qualities and especially for the modestness of its price"
"Who is Albert Bachmann and what are his links with the Swiss military services and Ireland?","Albert Bachmann was a Swiss ex-spy (officer) who went to retire to Ireland"
"How did the population react to the Valais tax law of 1976?","Several initiatives have been taken to this law, which have obtained considerable support."
"When was Chanh-Mong, king of Annam, crowned?","Chanh-Mong was proclaimed king of Annam on September 15, 1885 and was crowned on September 19, 1885"
